Date,Match Type,Ranking Type,Rank,Player,Country,Rating,Career Best
2024-01-02,TEST,BATTING,1,864,Kane Williamson,,"919 v Pakistan, 07/01/2021"
2024-01-02,TEST,BATTING,2,859,Joe Root,,"932 v Pakistan, 11/10/2024"
2024-01-02,TEST,BATTING,3,820,Steve Smith,,"947 v England, 30/12/2017"
2024-01-02,TEST,BATTING,4,786,Daryl Mitchell,,"804 v Bangladesh, 02/12/2023"
2024-01-02,TEST,BATTING,5,785,Usman Khawaja,,"847 v England, 02/07/2023"
2024-01-02,TEST,BATTING,6,782,Babar Azam,,"882 v New Zealand, 30/12/2022"
2024-01-02,TEST,BATTING,7,777,Marnus Labuschagne,,"937 v West Indies, 12/12/2022"
2024-01-02,TEST,BATTING,8,773,Harry Brook,,"829 v Pakistan, 11/10/2024"
2024-01-02,TEST,BATTING,9,761,Virat Kohli,,"937 v England, 22/08/2018"
2024-01-02,TEST,BATTING,10,754,Travis Head,,"884 v India, 11/06/2023"
2024-01-02,TEST,BATTING,11,747,Dimuth Karunaratne,,"783 v Ireland, 18/04/2023"
2024-01-02,TEST,BATTING,12,735,Rishabh Pant,,"801 v England, 05/07/2022"
2024-01-02,TEST,BATTING,13,728,Saud Shakeel,,"728 v Australia, 30/12/2023"
2024-01-02,TEST,BATTING,14,719,Rohit Sharma,,"813 v England, 06/09/2021"
2024-01-02,TEST,BATTING,15,685,Temba Bavuma,,"687 v West Indies, 11/08/2024"
2024-01-02,TEST,BATTING,16,683,Jonny Bairstow,,"772 v South Africa, 08/08/2017"
2024-01-02,TEST,BATTING,17,680,Dean Elgar,,"784 v Australia, 03/04/2018"
2024-01-02,TEST,BATTING,18,668,Ben Stokes,,"827 v West Indies, 20/07/2020"
2024-01-02,TEST,BATTING,18,668,Liton Das,,"724 v Sri Lanka, 27/05/2022"
2024-01-02,TEST,BATTING,20,656,Dinesh Chandimal,,"755 v West Indies, 18/06/2018"
2024-01-02,TEST,BATTING,21,651,Abdullah Shafique,,"676 v England, 05/12/2022"
2024-01-02,TEST,BATTING,22,649,Tom Blundell,,"782 v England, 28/02/2023"
2024-01-02,TEST,BATTING,23,647,Mushfiqur Rahim,,"684 v Pakistan, 25/08/2024"
2024-01-02,TEST,BATTING,23,647,Dhananjaya de Silva,,"699 v England, 10/09/2024"
2024-01-02,TEST,BATTING,25,646,Angelo Mathews,,"877 v New Zealand, 30/12/2014"
2024-01-02,TEST,BATTING,26,633,Ben Duckett,,"719 v India, 19/02/2024"
2024-01-02,TEST,BATTING,27,628,Mohammad Rizwan,,"728 v Bangladesh, 25/08/2024"
2024-01-02,TEST,BATTING,28,620,Tom Latham,,"733 v West Indies, 07/12/2020"
2024-01-02,TEST,BATTING,29,618,Aiden Markram,,"759 v Australia, 03/04/2018"
2024-01-02,TEST,BATTING,29,618,Zak Crawley,,"710 v West Indies, 14/07/2024"
2024-01-02,TEST,BATTING,31,616,David Warner,,"880 v India, 13/12/2014"
2024-01-02,TEST,BATTING,32,611,Agha Salman,,"684 v England, 19/10/2024"
2024-01-02,TEST,BATTING,33,607,Kraigg Brathwaite,,"701 v England, 29/08/2017"
2024-01-02,TEST,BATTING,34,602,Devon Conway,,"661 v South Africa, 01/03/2022"
2024-01-02,TEST,BATTING,35,600,Cheteshwar Pujara,,"888 v Sri Lanka, 07/08/2017"
2024-01-02,TEST,BATTING,36,592,Ollie Pope,,"684 v India, 29/01/2024"
2024-01-02,TEST,BATTING,37,590,Imam-ul-Haq,,"632 v Sri Lanka, 20/07/2023"
2024-01-02,TEST,BATTING,38,577,Ravindra Jadeja,,"605 v Australia, 13/02/2023"
2024-01-02,TEST,BATTING,39,566,Shakib Al Hasan,,"694 v Australia, 30/08/2017"
2024-01-02,TEST,BATTING,40,562,Henry Nicholls,,"778 v Bangladesh, 12/03/2019"
2024-01-02,TEST,BATTING,41,560,Alex Carey,,"628 v South Africa, 30/12/2022"
2024-01-02,TEST,BATTING,42,559,Shreyas Iyer,,"666 v Bangladesh, 26/12/2022"
2024-01-02,TEST,BATTING,43,558,Cameron Green,,"661 v New Zealand, 04/03/2024"
2024-01-02,TEST,BATTING,44,557,Ajinkya Rahane,,"825 v New Zealand, 11/10/2016"
2024-01-02,TEST,BATTING,45,555,Craig Ervine,,"555 v West Indies, 14/02/2023"
2024-01-02,TEST,BATTING,46,545,Nazmul Shanto,,"570 v New Zealand, 02/12/2023"
2024-01-02,TEST,BATTING,47,542,Jermaine Blackwood,,"596 v Bangladesh, 07/02/2021"
2024-01-02,TEST,BATTING,48,536,Kusal Mendis,,"693 v West Indies, 18/06/2018"
2024-01-02,TEST,BATTING,49,534,Tamim Iqbal,,"709 v Australia, 30/08/2017"
2024-01-02,TEST,BATTING,50,526,Axar Patel,,"548 v Australia, 13/03/2023"
2024-01-02,TEST,BATTING,51,508,Lokesh Rahul,,"761 v Sri Lanka, 16/08/2017"
2024-01-02,TEST,BATTING,52,504,Mitchell Marsh,,"552 v South Africa, 12/03/2018"
2024-01-02,TEST,BATTING,53,503,Keegan Petersen,,"597 v India, 15/01/2022"
2024-01-02,TEST,BATTING,54,502,Glenn Phillips,,"557 v India, 05/11/2024"
2024-01-02,TEST,BATTING,55,500,Kyle Verreynne,,"614 v Bangladesh, 25/10/2024"
2024-01-02,TEST,BATTING,55,500,Shubman Gill,,"701 v Bangladesh, 23/09/2024"
2024-01-02,TEST,BATTING,57,495,Shan Masood,,"653 v England, 08/08/2020"
2024-01-02,TEST,BATTING,58,493,Mominul Haque,,"661 v Pakistan, 10/05/2015"
2024-01-02,TEST,BATTING,59,492,Rassie van der Dussen,,"557 v New Zealand, 01/03/2022"
2024-01-02,TEST,BATTING,59,492,Nkruma Bonner,,"631 v England, 12/03/2022"
2024-01-02,TEST,BATTING,61,479,Niroshan Dickwella,,"595 v Zimbabwe, 23/01/2020"
2024-01-02,TEST,BATTING,61,479,Harry Tector,,"504 v Sri Lanka, 28/04/2023"
2024-01-02,TEST,BATTING,63,476,Sarfaraz Ahmed,,"715 v Sri Lanka, 21/06/2015"
2024-01-02,TEST,BATTING,64,471,Ben Foakes,,"512 v New Zealand, 20/02/2023"
2024-01-02,TEST,BATTING,65,459,Jason Holder,,"581 v England, 26/01/2019"
2024-01-02,TEST,BATTING,66,450,Lorcan Tucker,,"503 v Zimbabwe, 29/07/2024"
2024-01-02,TEST,BATTING,67,444,Zakir Hasan,,"461 v India, 26/12/2022"
